Timestamp,Your Age,Gender,State you reside in,City you reside in,Product(s) you like/wish to purchase,Do you like to visit to parties more frequently?
11-06-2021 13:14,18-30,Male,New Delhi,Tier 1,Headphones/Earphones,Yes
11-06-2021 14:18,18-30,Male,Uttar Pradesh,Tier 3,Headphones/Earphones,No
11-06-2021 14:19,30-45,Female,Uttar Pradesh,Tier 3,Books,No
11-06-2021 14:19,45 and above,Male,Uttar Pradesh,Tier 3,Smartwatch,No
11-06-2021 14:33,0-17,Male,Madhya Pradesh,Tier 2,Smartwatch,No
11-06-2021 14:34,0-17,Female,Rajasthan,Tier 2,Headphones/Earphones,No
11-06-2021 14:34,45 and above,Female,Goa,Tier 1,Headphones/Earphones,Yes
11-06-2021 14:34,30-45,Female,New Delhi,Tier 1,Headphones/Earphones,No
11-06-2021 14:35,0-17,Female,Uttar Pradesh,Tier 2,Smartwatch,No
11-06-2021 14:35,45 and above,Male,Uttar Pradesh,Tier 2,Headphones/Earphones,Yes
11-06-2021 14:35,45 and above,Female,Uttar Pradesh,Tier 2,Headphones/Earphones,Yes
11-06-2021 14:36,45 and above,Male,Uttar Pradesh,Tier 2,Smartwatch,No
11-06-2021 14:36,45 and above,Female,Uttar Pradesh,Tier 2,Headphones/Earphones,Yes
11-06-2021 14:36,45 and above,Female,Kerala,Tier 2,OTT subscriptions,Yes
11-06-2021 14:37,30-45,Female,Bihar,Tier 2,Smartwatch,Yes
11-06-2021 14:37,45 and above,Male,Telangana,Tier 2,Headphones/Earphones,Yes
11-06-2021 14:37,0-17,Female,Bihar,Tier 2,Books,Yes
11-06-2021 14:38,45 and above,Male,New Delhi,Tier 1,Shoes,Yes
11-06-2021 14:38,45 and above,Female,Telangana,Tier 2,Headphones/Earphones,Yes
11-06-2021 14:38,30-45,Female,Asom (Assam),Tier 2,OTT subscriptions,No
11-06-2021 14:39,30-45,Female,Uttar Pradesh,Tier 2,Wallet,Yes
11-06-2021 14:39,30-45,Female,Uttar Pradesh,Tier 2,Headphones/Earphones,Yes
11-06-2021 14:39,45 and above,Female,Uttar Pradesh,Tier 2,Smartwatch,Yes
11-06-2021 14:40,45 and above,Male,Uttar Pradesh,Tier 2,Perfume,Yes
11-06-2021 14:40,0-17,Male,Uttar Pradesh,Tier 2,Headphones/Earphones,Yes
11-06-2021 14:40,0-17,Female,Uttar Pradesh,Tier 2,Headphones/Earphones,Yes
11-06-2021 14:41,30-45,Male,Uttar Pradesh,Tier 2,Books,Yes
11-06-2021 14:41,0-17,Female,Uttar Pradesh,Tier 2,Headphones/Earphones,Yes
11-06-2021 14:42,0-17,Female,Uttar Pradesh,Tier 2,OTT subscriptions,Yes
11-06-2021 14:42,30-45,Male,West Bengal,Tier 1,"Wallet, Shoes",Yes
11-06-2021 14:43,30-45,Female,Madhya Pradesh,Tier 2,Shoes,Yes
11-06-2021 14:43,45 and above,Female,Uttar Pradesh,Tier 2,Headphones/Earphones,No
11-06-2021 14:44,0-17,Male,Uttar Pradesh,Tier 2,Books,No
11-06-2021 14:44,30-45,Male,Uttarakhand (Uttaranchal),Tier 2,Headphones/Earphones,Yes
11-06-2021 14:45,45 and above,Male,New Delhi,Tier 1,Shoes,Yes
11-06-2021 14:46,0-17,Male,Tamil Nadu,Tier 1,Shoes,Yes
11-06-2021 14:46,30-45,Female,Uttarakhand (Uttaranchal),Tier 2,Smartwatch,Yes
